title,link,description,pub_date,source
Oakland Campus Provides Summer Jobs to High School Students - Northeastern University,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTcvb2FrbGFuZC15b3V0aC1lbXBsb3ltZW50LXByb2dyYW0v0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTcvb2FrbGFuZC15b3V0aC1lbXBsb3ltZW50LXByb2dyYW0v0gEA?oc=5"" target=""_blank"">Oakland Campus Provides Summer Jobs to High School Students</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-17 19:02:45+00:00,Northeastern University
Northeastern to Award $450M in Financial Aid for 2023-24 - Northeastern University,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTYvcmVjb3JkLWZpbmFuY2lhbC1haWQtMjAyMy0yMDI0L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTYvcmVjb3JkLWZpbmFuY2lhbC1haWQtMjAyMy0yMDI0L9IBAA?oc=5"" target=""_blank"">Northeastern to Award $450M in Financial Aid for 2023-24</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-16 17:27:26+00:00,Northeastern University
Local roundup: Northeastern Legion baseball advances to regional ... - York Dispatch,https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy55b3JrZGlzcGF0Y2guY29tL3N0b3J5L3Nwb3J0cy9iYXNlYmFsbC8yMDIzLzA3LzE3L25vcnRoZWFzdGVybi1sZWdpb24tYmFzZWJhbGwtYWR2YW5jZXMtcmVnaW9uYWwtc2VtaWZpbmFscy1sb2NhbC1yb3VuZHVwLzcwNDIyODcyMDA3L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy55b3JrZGlzcGF0Y2guY29tL3N0b3J5L3Nwb3J0cy9iYXNlYmFsbC8yMDIzLzA3LzE3L25vcnRoZWFzdGVybi1sZWdpb24tYmFzZWJhbGwtYWR2YW5jZXMtcmVnaW9uYWwtc2VtaWZpbmFscy1sb2NhbC1yb3VuZHVwLzcwNDIyODcyMDA3L9IBAA?oc=5"" target=""_blank"">Local roundup: Northeastern Legion baseball advances to regional ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">York Dispatch</font",2023-07-18 02:30:40+00:00,York Dispatch
Northeastern Gains Commitment From Futures Qualifier Peyton ... - SwimSwam,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vc3dpbXN3YW0uY29tL25vcnRoZWFzdGVybi1nYWlucy1jb21taXRtZW50LWZyb20tZnV0dXJlcy1xdWFsaWZpZXItcGV5dG9uLWtuaWdodGx5LTIwMjQv0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vc3dpbXN3YW0uY29tL25vcnRoZWFzdGVybi1nYWlucy1jb21taXRtZW50LWZyb20tZnV0dXJlcy1xdWFsaWZpZXItcGV5dG9uLWtuaWdodGx5LTIwMjQv0gEA?oc=5"" target=""_blank"">Northeastern Gains Commitment From Futures Qualifier Peyton ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SwimSwam</font",2023-07-14 19:47:16+00:00,SwimSwam
Golden anniversary: Northeastern champion rowers return to ... - Northeastern University,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMDYvbWFnYXppbmUvaGVubGV5LXJveWFsLXJlZ2F0dGEtMTk3My1jcmV3L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMDYvbWFnYXppbmUvaGVubGV5LXJveWFsLXJlZ2F0dGEtMTk3My1jcmV3L9IBAA?oc=5"" target=""_blank"">Golden anniversary: Northeastern champion rowers return to ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-06 07:00:00+00:00,Northeastern University
How Much Should You Tip—and When? - Northeastern University,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTcvaG93LW11Y2gtdG8tdGlwLXdoZW4v0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTcvaG93LW11Y2gtdG8tdGlwLXdoZW4v0gEA?oc=5"" target=""_blank"">How Much Should You Tip—and When?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-17 19:56:29+00:00,Northeastern University
Train derailment in northeastern Minnesota Monday night | The ... - KFGO,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8va2Znby5jb20vMjAyMy8wNy8xOC90cmFpbi1kZXJhaWxtZW50LWluLW5vcnRoZWFzdGVybi1taW5uZXNvdGEtbW9uZGF5LW5pZ2h0L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8va2Znby5jb20vMjAyMy8wNy8xOC90cmFpbi1kZXJhaWxtZW50LWluLW5vcnRoZWFzdGVybi1taW5uZXNvdGEtbW9uZGF5LW5pZ2h0L9IBAA?oc=5"" target=""_blank"">Train derailment in northeastern Minnesota Monday night | The ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KFGO</font",2023-07-18 09:47:08+00:00,KFGO
"Department of Labor, Northeastern Pennsylvania Industrial ... - US Department of Labor",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LmRvbC5nb3YvbmV3c3Jvb20vcmVsZWFzZXMvb3NoYS9vc2hhMjAyMzA3MTQtMNIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3LmRvbC5nb3YvbmV3c3Jvb20vcmVsZWFzZXMvb3NoYS9vc2hhMjAyMzA3MTQtMNIBAA?oc=5"" target=""_blank"">Department of Labor, Northeastern Pennsylvania Industrial ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">US Department of Labor</font",2023-07-14 20:17:13+00:00,US Department of Labor
How Northeastern's Mental Health Services Help Students - Northeastern University,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTIvbm9ydGhlYXN0ZXJuLW1lbnRhbC1oZWFsdGgtc2VydmljZXMv0gEA?oc=5," href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTIvbm9ydGhlYXN0ZXJuLW1lbnRhbC1oZWFsdGgtc2VydmljZXMv0gEA?oc=5"" target=""_blank"">How Northeastern's Mental Health Services Help Students</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-12 13:20:33+00:00,Northeastern University
Ongoing rounds of rain to keep flash flood risk elevated in northeastern US - AOL,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFvbC5jb20vd2VhdGhlci9vbmdvaW5nLXJvdW5kcy1yYWluLWtlZXAtZmxhc2gtMTYxNjEyNDM5Lmh0bWzSAUlodHRwczovL3d3dy5hb2wuY29tL2FtcGh0bWwvb25nb2luZy1yb3VuZHMtcmFpbi1rZWVwLWZsYXNoLTE2MTYxMjQzOS5odG1s?oc=5," href=""https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFvbC5jb20vd2VhdGhlci9vbmdvaW5nLXJvdW5kcy1yYWluLWtlZXAtZmxhc2gtMTYxNjEyNDM5Lmh0bWzSAUlodHRwczovL3d3dy5hb2wuY29tL2FtcGh0bWwvb25nb2luZy1yb3VuZHMtcmFpbi1rZWVwLWZsYXNoLTE2MTYxMjQzOS5odG1s?oc=5"" target=""_blank"">Ongoing rounds of rain to keep flash flood risk elevated in northeastern US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AOL</font",2023-07-17 16:16:12+00:00,AOL
Kostas Research Institute Honored for Industrial Security - Northeastern University,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTQvaW5kdXN0cmlhbC1zZWN1cml0eS1hd2FyZC1rb3N0YXMtcmVzZWFyY2gtaW5zdGl0dXRlL9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTQvaW5kdXN0cmlhbC1zZWN1cml0eS1hd2FyZC1rb3N0YXMtcmVzZWFyY2gtaW5zdGl0dXRlL9IBAA?oc=5"" target=""_blank"">Kostas Research Institute Honored for Industrial Security</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-14 16:35:01+00:00,Northeastern University
Wastewater Tracing Could Have Stopped Spread of COVID: Study - Northeastern University,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTIvd2FzdGV3YXRlci1jb3ZpZC10cmFja2luZy_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTIvd2FzdGV3YXRlci1jb3ZpZC10cmFja2luZy_SAQA?oc=5"" target=""_blank"">Wastewater Tracing Could Have Stopped Spread of COVID: Study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-12 18:54:10+00:00,Northeastern University
"Northeastern University launches O-RAN OTIC, Pioneering ... - PR Newswire",https://news.google.com/rss/articles/CBMiswFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL25vcnRoZWFzdGVybi11bml2ZXJzaXR5LWxhdW5jaGVzLW8tcmFuLW90aWMtcGlvbmVlcmluZy1jYXBhYmlsaXRpZXMtZm9yLW5leHQtZ2VuZXJhdGlvbi1jZWxsdWxhci1uZXR3b3Jrcy1pbi10aGUtb3BlbjZnLWh1Yi0zMDE4NzA0NjkuaHRtbNIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiswFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL25vcnRoZWFzdGVybi11bml2ZXJzaXR5LWxhdW5jaGVzLW8tcmFuLW90aWMtcGlvbmVlcmluZy1jYXBhYmlsaXRpZXMtZm9yLW5leHQtZ2VuZXJhdGlvbi1jZWxsdWxhci1uZXR3b3Jrcy1pbi10aGUtb3BlbjZnLWh1Yi0zMDE4NzA0NjkuaHRtbNIBAA?oc=5"" target=""_blank"">Northeastern University launches O-RAN OTIC, Pioneering ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font",2023-07-05 07:00:00+00:00,PR Newswire
Report: Northeast Ohio Primed for EV Market - businessjournaldaily.com,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vYnVzaW5lc3Nqb3VybmFsZGFpbHkuY29tL3JlcG9ydC1ub3J0aGVhc3Rlcm4tb2hpby1wcmltZWQtZm9yLWV2LW1hcmtldC_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vYnVzaW5lc3Nqb3VybmFsZGFpbHkuY29tL3JlcG9ydC1ub3J0aGVhc3Rlcm4tb2hpby1wcmltZWQtZm9yLWV2LW1hcmtldC_SAQA?oc=5"" target=""_blank"">Report: Northeast Ohio Primed for EV Market</a>&nbsp;&nbsp;<font color=""#6f6f6f"">businessjournaldaily.com</font",2023-07-18 09:06:29+00:00,businessjournaldaily.com
Northeastern Parkinson's Treatment Center Empowers Patients - Northeastern University,https://news.google.com/rss/articles/CBMiiQFodHRwczovL25ld3Mubm9ydGhlYXN0ZXJuLmVkdS8yMDIzLzA3LzA1L25vcnRoZWFzdGVybnMtcGFya2luc29ucy1kaXNlYXNlLXRyZWF0bWVudC1jZW50ZXItaGVscHMtcGF0aWVudHMtYXZvaWQtY29tbXVuaWNhdGlvbi1icmVha2Rvd25zL9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiiQFodHRwczovL25ld3Mubm9ydGhlYXN0ZXJuLmVkdS8yMDIzLzA3LzA1L25vcnRoZWFzdGVybnMtcGFya2luc29ucy1kaXNlYXNlLXRyZWF0bWVudC1jZW50ZXItaGVscHMtcGF0aWVudHMtYXZvaWQtY29tbXVuaWNhdGlvbi1icmVha2Rvd25zL9IBAA?oc=5"" target=""_blank"">Northeastern Parkinson's Treatment Center Empowers Patients</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-05 07:00:00+00:00,Northeastern University
It's all fun and games. This class takes play seriously - Northeastern University,https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTMvbWFnYXppbmUvc2NpZW5jZS1vZi1wbGF5L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDcvMTMvbWFnYXppbmUvc2NpZW5jZS1vZi1wbGF5L9IBAA?oc=5"" target=""_blank"">It's all fun and games. This class takes play seriously</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-07-13 14:07:02+00:00,Northeastern University
US: Tornado warning issued for parts northeastern Massachusetts ... - Crisis24,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vY3Jpc2lzMjQuZ2FyZGEuY29tL2FsZXJ0cy8yMDIzLzA3L3VzLXRvcm5hZG8td2FybmluZy1pc3N1ZWQtZm9yLXBhcnRzLW5vcnRoZWFzdGVybi1tYXNzYWNodXNldHRzLWp1bHktMTbSAQA?oc=5," href=""https://news.google.com/rss/articles/CBMicGh0dHBzOi8vY3Jpc2lzMjQuZ2FyZGEuY29tL2FsZXJ0cy8yMDIzLzA3L3VzLXRvcm5hZG8td2FybmluZy1pc3N1ZWQtZm9yLXBhcnRzLW5vcnRoZWFzdGVybi1tYXNzYWNodXNldHRzLWp1bHktMTbSAQA?oc=5"" target=""_blank"">US: Tornado warning issued for parts northeastern Massachusetts ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Crisis24</font",2023-07-16 07:35:00+00:00,Crisis24
Colombian Fest Moves To Northeastern Illinois University For ... - Block Club Chicago,https://news.google.com/rss/articles/CBMijQFodHRwczovL2Jsb2NrY2x1YmNoaWNhZ28ub3JnLzIwMjMvMDcvMTQvY29sb21iaWFuLWZlc3QtbW92ZXMtdG8tbm9ydGhlYXN0ZXJuLWlsbGlub2lzLXVuaXZlcnNpdHktZm9yLWFubnVhbC1jZWxlYnJhdGlvbi1vZi1tdXNpYy1hbmQtY3VsdHVyZS_SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL2Jsb2NrY2x1YmNoaWNhZ28ub3JnLzIwMjMvMDcvMTQvY29sb21iaWFuLWZlc3QtbW92ZXMtdG8tbm9ydGhlYXN0ZXJuLWlsbGlub2lzLXVuaXZlcnNpdHktZm9yLWFubnVhbC1jZWxlYnJhdGlvbi1vZi1tdXNpYy1hbmQtY3VsdHVyZS_SAQA?oc=5"" target=""_blank"">Colombian Fest Moves To Northeastern Illinois University For ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Block Club Chicago</font",2023-07-14 13:48:00+00:00,Block Club Chicago
Boston Unity Cup Soccer Tournament Kicks Off at Northeastern - Northeastern University,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDYvMjUvdW5pdHktY3VwLXNvY2Nlci10b3VybmFtZW50L9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vbmV3cy5ub3J0aGVhc3Rlcm4uZWR1LzIwMjMvMDYvMjUvdW5pdHktY3VwLXNvY2Nlci10b3VybmFtZW50L9IBAA?oc=5"" target=""_blank"">Boston Unity Cup Soccer Tournament Kicks Off at Northeastern</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeastern University</font",2023-06-25 07:00:00+00:00,Northeastern University
Northeastern University president posts letter after Supreme Court strikes down affirmative action in college admissions - Boston.com,https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5ib3N0b24uY29tL25ld3MvbG9jYWwtbmV3cy8yMDIzLzA2LzI5L25vcnRoZWFzdGVybi11bml2ZXJzaXR5LXByZXNpZGVudC1zdXByZW1lLWNvdXJ0LWFmZmlybWF0aXZlLWFjdGlvbi1jb2xsZWdlLWFkbWlzc2lvbnMv0gGOAWh0dHBzOi8vd3d3LmJvc3Rvbi5jb20vbmV3cy9sb2NhbC1uZXdzLzIwMjMvMDYvMjkvbm9ydGhlYXN0ZXJuLXVuaXZlcnNpdHktcHJlc2lkZW50LXN1cHJlbWUtY291cnQtYWZmaXJtYXRpdmUtYWN0aW9uLWNvbGxlZ2UtYWRtaXNzaW9ucy8_YW1wPTE?oc=5," href=""https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5ib3N0b24uY29tL25ld3MvbG9jYWwtbmV3cy8yMDIzLzA2LzI5L25vcnRoZWFzdGVybi11bml2ZXJzaXR5LXByZXNpZGVudC1zdXByZW1lLWNvdXJ0LWFmZmlybWF0aXZlLWFjdGlvbi1jb2xsZWdlLWFkbWlzc2lvbnMv0gGOAWh0dHBzOi8vd3d3LmJvc3Rvbi5jb20vbmV3cy9sb2NhbC1uZXdzLzIwMjMvMDYvMjkvbm9ydGhlYXN0ZXJuLXVuaXZlcnNpdHktcHJlc2lkZW50LXN1cHJlbWUtY291cnQtYWZmaXJtYXRpdmUtYWN0aW9uLWNvbGxlZ2UtYWRtaXNzaW9ucy8_YW1wPTE?oc=5"" target=""_blank"">Northeastern University president posts letter after Supreme Court strikes down affirmative action in college admissions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Boston.com</font",2023-06-29 07:00:00+00:00,Boston.com
